Day,Title / Page,Target keyword,Vol,KD,Type,Notes,Status,Published_Date,Live_URL
1,How to Make Small Text in Discord: The Complete 2026 Guide,small text discord,"8,500",58,Strengthen (/guides/tiny-text-discord),"Cornerstone piece. Head term is hard, but build it as the pillar for the huge long-tail cluster (hundreds of ""how to make text small in discord"" variants already getting impressions in GSC). Add FAQ schema, mobile-specific section, embed the tool inline.",Published,2026-09-13,https://smalltextgen.site/guides/tiny-text-discord
2,Glitch Text Generator (Corrupted/Zalgo-Style Text),glitch text generator,"30,000",0,New,Biggest zero-competition opportunity found. Cross-link with Day 3.,Published,2026-09-13,https://smalltextgen.site/guides/glitch-text-generator
3,Zalgo Text Generator – Creepy Corrupted Text,zalgo text generator,"11,000",4,New,"Pair with Day 2; both target the ""creepy/corrupted text"" aesthetic niche.",Published,2026-09-13,https://smalltextgen.site/guides/zalgo-text-generator
4,Superscript Generator (Copy & Paste),superscript generator,"9,600",0,Strengthen existing /tools/superscript,"Zero competition, high volume — quick optimization pass (FAQ, use-case examples: math, footnotes, chemistry).",Pending,,
5,Subscript Generator (Copy & Paste),subscript generator,"5,900",0,Strengthen existing /tools/subscript,Already your best-impression page in GSC — push it further with deeper content.,Pending,,
6,Discord Name Generator (Fancy/Symbol Names),discord name generator,"1,500",4,New,Ties into the Discord content cluster; low competition.,Pending,,
7,Upside Down Text Generator,upside down text generator,"7,000",6,New,"Good volume, low difficulty.",Pending,,
8,Small Caps Generator,small caps generator,"2,400",0,Strengthen existing /tools/small-caps,Zero KD — should be an easy climb with a content refresh.,Pending,,
9,Underline Text Generator,underline text generator,"1,700",0,Strengthen existing,Zero KD; competitor only ranks #13 for this despite a dedicated page.,Pending,,
10,Mirror / Flip Text Generator,mirror text generator,"1,200",0,New,"Simple novelty tool, easy win.",Pending,,
11,Italic Text Generator,italic text generator,"3,500",1,New,Pairs naturally with bold/underline cluster (see Day 26 hub).,Pending,,
12,Vaporwave Text Generator (Aesthetic/Y2K Text),vaporwave text generator,"1,400",0,New,Aesthetic/TikTok-bio angle — good candidate for social shares.,Pending,,
13,Typewriter Font Generator,typewriter font generator,"1,200",0,New,"Easy win, niche aesthetic.",Pending,,
14,Old English / Gothic Text Generator,old english text generator,800,0,New,"Easy win, tattoo/gothic aesthetic audience.",Pending,,
15,Roblox Font Generator,roblox font generator,"1,300",0,New,First of the gaming-niche cluster (Days 15-18).,Pending,,
16,Minecraft Font Generator,minecraft font generator,"2,900",6,New,Gaming cluster.,Pending,,
17,Fortnite Font Generator,fortnite font generator,900,0,New,Gaming cluster.,Pending,,
18,Adopt Me Font Generator,adopt me font generator,"1,300",3,New,Gaming cluster (Roblox game-specific — competitor has this exact page ranking weakly at #28).,Pending,,
19,"Pillar: Best Font Generators for Roblox, Minecraft & Fortnite (2026)",gaming font generator (cluster hub),—,—,New (hub),"Internally links Days 15-18, builds topical authority for the gaming cluster and gives Google a strong hub page.",Pending,,
20,Circle Text Generator,circle text generator,450,7,New,Small but essentially free win.,Pending,,
21,Strikethrough Text Generator,strikethrough text generator,"2,900",9,Strengthen existing /tools/strikethrough (or new if absent),Competitor ranks #8 here — beatable with a stronger page.,Pending,,
22,Unicode Text Converter,unicode text converter,"2,600",12,Strengthen existing /tools/unicode-text-converter,"Add a clear ""what is Unicode"" explainer for E-E-A-T; competitor ranks weakly (#22-24) despite two URL variants.",Pending,,
23,Aesthetic Fonts for Instagram Bio: The Ultimate Guide,instagram font generator / aesthetic text generator,"11,000 / 600",57 / 48,Strengthen existing /guides/small-text-instagram-bio,"Long-term play; lean into shareable, visual content to attract natural links from lifestyle/social blogs.",Pending,,
24,Cursive Font Generator (Full Overhaul),cursive font generator,"29,000",21,Strengthen existing /tools/cursive,"Big-volume swing #1. Add style comparisons, downloadable examples, expanded FAQ.",Pending,,
25,Bold Text Generator (Full Overhaul),bold text generator,"30,000",30,Strengthen existing /tools/bold,"Big-volume swing #2. Add platform-specific sections (WhatsApp, LinkedIn, Instagram bold text).",Pending,,
26,"Pillar: Text Formatting Cheat Sheet — Bold, Italic, Underline & Strikethrough for Every Platform",text formatting (cluster hub),—,—,New (hub),"Internally links Days 9, 11, 21, 24, 25 — consolidates topical authority and internal link equity.",Pending,,
27,Fancy Text Generator (Flagship Rebuild),fancy text generator,"58,000",59,Strengthen existing /tools/fancy-text-generator,Single biggest keyword found in this whole audit and nobody in the niche ranks well for it (not even the competitor). Make this the best page on the internet for the term; earmark for a dedicated backlink push in month 2.,Pending,,
28,Small Text Generator (Homepage Refresh),small text generator,"31,000",33,Strengthen homepage,"Defend/improve your core branded term — add trust signals, ""how it works"" explainer, expanded FAQ schema.",Pending,,
29,Tiny Text Generator (Refresh),tiny text generator,"17,000",10,Strengthen existing /tools/tiny-text-generator,Your #2 potential traffic driver; low-ish KD relative to volume.,Pending,,
30,Small Text Generator: Best Free Tools Compared (2026),small text generator alternatives / comparison,—,—,New (comparison),Comparison-style post referencing smalltextgen.com and other competitors by name — captures comparison-intent searches and is a natural asset for future outreach/guest-post pitches.,Pending,,
